method,z,significance,profit-min,profit-max,profit-mean,profit-median,profit-var,profit-std,profit-skew,profit-kurt,excessProfit-min,excessProfit-max,excessProfit-mean,excessProfit-median,excessProfit-var,excessProfit-std,excessProfit-skew,excessProfit-kurt,success-min,success-max,success-mean,success-median,success-var,success-std,success-skew,success-kurt,frequency-min,frequency-max,frequency-mean,frequency-median,frequency-var,frequency-std,frequency-skew,frequency-kurt,fee-min,fee-max,fee-mean,fee-median,fee-var,fee-std,fee-skew,fee-kurt,frequencyBuy-min,frequencyBuy-max,frequencyBuy-mean,frequencyBuy-median,frequencyBuy-var,frequencyBuy-std,frequencyBuy-skew,frequencyBuy-kurt,frequencySell-min,frequencySell-max,frequencySell-mean,frequencySell-median,frequencySell-var,frequencySell-std,frequencySell-skew,frequencySell-kurt
RSI-MTM,-17.54434788,,-0.227965971,1.002573631,0.048181977,0.029418145,0.013443629,0.115946664,1.796167916,6.687153934,-3.036386812,1.065810242,-0.038311752,-0.017733384,0.047685854,0.218370909,-2.041234959,16.99867974,0,0.976721472,0.560464385,0.599994143,0.030184216,0.173736054,-1.205541087,1.657073548,1,525,115.3933,104,5679.840999,75.36471986,0.81421307,0.613971065,10.2194083,276461.6885,2856.674444,1256.769398,83582168.44,9142.328393,13.52845103,255.714752,1,257,65.4166,61,1537.398784,39.20967718,0.663369746,0.227218231,0,268,49.9767,43,1384.445202,37.20813354,0.976448048,1.07918078
PSY-MTM,-17.77772744,,-0.24519544,1.574338304,0.047906234,0.028119406,0.012177915,0.110353589,2.201948329,12.77602909,-3.070211628,1.660421303,-0.038587495,-0.019349313,0.047112991,0.217055273,-2.136253201,18.83727954,0,0.679972801,0.36534615,0.372688337,0.004070302,0.063798917,-2.000266401,9.328219409,1,2336,485.9317,432,108318.0688,329.1171051,0.995466978,1.268766852,11.4359857,1639377.066,9615.885264,4023.105155,1349334319,36733.28625,22.05949703,721.6387294,1,1168,247.7184,222,26427.0054,162.5638502,0.95898101,1.207857531,0,1168,238.2133,209,27910.9205,167.0656173,1.0334504,1.348554615
PSY-RSI,-18.88458157,,-0.263019533,1.450568968,0.045941787,0.035789055,0.012141709,0.110189424,1.913056635,11.87516359,-2.91458579,1.588630524,-0.040551942,-0.017898714,0.04611143,0.214735721,-2.098926922,16.47745716,0,0.967710719,0.559168733,0.590314006,0.024454495,0.15637933,-1.206148683,2.097858367,1,590,128.069,117,6896.167056,83.04316381,0.792545651,0.582698008,10.2185213,654093.3749,3091.766636,1351.235289,140121396.2,11837.28838,27.02870566,1181.414011,1,306,74.0627,69,2001.426911,44.73731006,0.639629095,0.18156403,0,284,54.0063,46,1580.357096,39.75370544,0.997861681,1.141479659
MACD-RSI,-19.46017743,,-0.240292782,1.465639708,0.044042541,0.025948653,0.013636235,0.116774292,2.981856647,20.11815161,-3.03088522,1.496810226,-0.042451188,-0.022756226,0.047586756,0.218143888,-1.812275559,17.03878787,0,0.947318562,0.438195768,0.466657593,0.030137399,0.173601266,-0.682582979,0.339135913,1,325,64.3916,58,1696.00145,41.18253816,0.89750927,1.066760777,10.2188761,169445.0373,1814.968871,831.1276031,33146903.78,5757.334781,13.74345153,275.1116021,1,171,38.7228,37,487.8113413,22.08645153,0.60609052,0.322939121,0,154,25.6688,21,410.5869653,20.26294562,1.174304689,1.895878817
RSI-ROC,-19.41061398,,-0.235257287,2.282499697,0.043623164,0.023665123,0.014353235,0.119804986,3.105287867,29.03736007,-2.69335035,2.367128092,-0.042870565,-0.023669944,0.048779784,0.220861458,-1.600527525,16.33955351,0,0.947343491,0.557975061,0.599994416,0.030706491,0.175232676,-1.174643271,1.463205013,0,525,116.9433,105,6021.397225,77.5976625,0.900147768,0.945067095,0,448411.825,2935.872809,1245.143096,107596680.1,10372.88196,19.13371589,579.2484017,0,267,65.8073,61,1579.765943,39.74626955,0.734106744,0.489704823,0,286,51.136,44,1517.792483,38.95885629,1.069820973,1.480312031
DMI-ARBR,-20.74013015,,-0.246957695,1.68194234,0.043472909,0.026925066,0.008465157,0.09200629,3.641211103,31.54546795,-3.051339469,1.61869299,-0.04302082,-0.019861757,0.043026341,0.207427916,-2.366899703,21.36543334,0,0.947318562,0.459203087,0.481838295,0.021558529,0.146828229,-0.881387177,1.615032636,1,484,123.6507,115,6140.094699,78.35875636,0.557435206,-0.223615376,10.5444023,314422.6874,2701.679256,1310.73108,78721914.08,8872.537071,16.51989262,394.1122955,1,195,52.9223,50,1068.843947,32.69317891,0.540261448,-0.169977437,0,337,70.7284,65,2303.46678,47.9944453,0.679233015,0.228643706
VR-ARBR,-22.56559938,,-0.1553659,0.954063107,0.040979007,0.030146543,0.005839598,0.076417265,1.514400746,7.140198964,-3.040500799,1.013735268,-0.045514722,-0.010895938,0.040682726,0.201699593,-3.179914412,24.52290527,0,0.62496094,0.020902532,0,0.002731609,0.052264796,3.473772078,16.06446157,0,140,25.5142,23,316.2246208,17.78270567,0.714838225,0.384613858,0,29339.92377,834.0112823,526.3370891,3928414.99,1982.022954,7.295395078,58.77607292,0,139,25.2631,23,309.4996284,17.59260152,0.708393533,0.360658745,0,6,0.2511,0,0.250873877,0.500873115,2.403339966,9.715720709
KDJ-RSI,-35.96173474,,-0.259481045,2.133924398,0.012326817,0.001245219,0.007966361,0.089254471,3.954827074,52.18216425,-3.005118474,1.80536235,-0.074166911,-0.046942203,0.042534283,0.206238414,-2.505624825,21.37372749,0,0.976167234,0.648822798,0.698221753,0.031141367,0.176469167,-1.398112679,2.007836885,1,713,153.7814,144,8580.539068,92.63119921,0.727029995,0.703372969,10.4808409,397326.2132,2862.094237,1510.146744,82959502.68,9108.210729,18.212955,526.5285662,1,442,95.6238,90,3096.234897,55.64382173,0.71861198,0.75963318,0,271,58.1576,53,1490.850647,38.61153516,0.790092025,0.679958617
RSI,-39.59889318,,-0.248556652,1.26661898,0.004025362,-0.001618953,0.009836284,0.09917804,2.133063774,12.96787226,-3.033377814,1.058935623,-0.082468367,-0.054623986,0.043371925,0.208259273,-2.452405443,20.16556646,0,0.981800331,0.701065656,0.764379762,0.037235084,0.192963944,-1.618891996,2.522008099,1,894,182.0452,170,12603.17067,112.263844,0.832309173,1.459396288,10.2201179,314435.9186,3504.023102,1761.473869,116113500.3,10775.59745,13.43449338,248.2280421,1,519,104.6323,98,3768.344331,61.38684168,0.811976311,1.484573065,0,385,77.4129,71,2713.812195,52.09426259,0.889437381,1.478325655
WR-RSI,-42.79617804,,-0.251303304,1.131948678,-0.001064123,-0.006202505,0.007825336,0.08846093,1.902146848,13.3536235,-3.01285621,1.055827536,-0.087557852,-0.05708314,0.041858169,0.204592691,-2.60668403,19.80831878,0,0.985901607,0.700931348,0.762432095,0.035880546,0.189421609,-1.588769926,2.500047171,0,869,175.3503,163,11828.47904,108.7588113,0.832745105,1.286844056,0,332839.6153,3273.740242,1679.399561,100668677.4,10033.37817,15.3175484,341.217032,0,491,101.6447,96,3577.516614,59.81234499,0.804323039,1.317776012,0,378,73.7056,67,2522.496978,50.22446593,0.889546334,1.258543864
